id,Shipper_ID,Shipper_Name,Tracking_ID,Order_Granular_Status,Delivery_Type_Name,Service_Type,Service_Level,Parcel_Size_ID,Original_Weight,Create_Time,Delivery_Date,Gender,L1_Name,To_Postcode, Actual_delivery_fee, cod_collected, cod_fee, insured_value, insurance_fee, SST , Total_Charge,Country,created_at,updated_at
,690929,1,NVMY34535000011035,1,1,1,1,1,1,6/4/2024 16:28,4/17/2024,0,Pulau Pinang,11000,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010999,1,1,1,1,1,1,6/5/2024 16:28,4/17/2024,1,Terengganu,21500,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011036,1,1,1,1,1,8,6/6/2024 16:28,4/17/2024,0,Perak,31550,12.6, -   , -   , -   , -   ,0.76,13.36,1,,
,690929,1,NVMY34535000010989,1,1,1,1,1,1,6/7/2024 16:28,4/17/2024,1,Selangor,43500,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011025,1,1,1,1,1,1,6/8/2024 16:28,4/17/2024,0,Pahang,25150,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011043,1,1,1,1,1,1,6/9/2024 16:28,4/17/2024,1,Selangor,48050,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011062,1,1,1,1,1,2,6/10/2024 16:28,4/18/2024,1,Pahang,25150,7.8, -   , -   , -   , -   ,0.47,8.27,1,,
,690929,1,NVMY34535000011019,1,1,1,1,1,1,6/11/2024 16:28,4/18/2024,0,Selangor,47620,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011045,1,1,1,1,1,2,6/12/2024 16:28,4/18/2024,0,Selangor,40000,7.8, -   , -   , -   , -   ,0.47,8.27,1,,
,690929,1,NVMY34535000011059,1,1,1,1,1,1,6/13/2024 16:28,4/18/2024,1,Selangor,40460,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011044,1,1,1,1,1,2,6/14/2024 16:28,4/18/2024,1,Melaka,75450,7.8, -   , -   , -   , -   ,0.47,8.27,1,,
,690929,1,NVMY34535000011053,1,1,1,1,1,1,6/15/2024 16:28,4/18/2024,1,Pahang,25000,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011027,1,1,1,1,1,1,6/16/2024 16:28,4/18/2024,1,Johor,81750,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011077,1,1,1,1,1,1,6/17/2024 16:28,4/18/2024,0,Johor,83000,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011082,1,1,1,1,1,1,6/18/2024 16:28,4/18/2024,1,Selangor,43300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011091,1,1,1,1,1,7,6/19/2024 16:28,4/18/2024,1,Pahang,28000,11.8, -   , -   , -   , -   ,0.71,12.51,1,,
